City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Kahului,US,84.22,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
5,Bengkulu,ID,80.69,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
6,Namatanai,PG,76.03,moderate rain,-3.6667,152.4333,Seagulls Inn Namatani
16,Yichang,CN,84.11,clear sky,30.7144,111.2847,Gezhouba Hotel
20,Gigmoto,PH,86.95,broken clouds,13.7796,124.39,Cj's Travellers Inn
21,Tessalit,ML,89.2,clear sky,20.1986,1.0114,
23,Butaritari,KI,82.71,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
32,Vaini,TO,80.76,few clouds,-21.2,-175.2,Keleti Beach Resort
33,Ramona,US,79.83,clear sky,33.0417,-116.8681,Ramona Terrace Estates
35,Dingle,PH,84.69,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
36,Katsuura,JP,77.11,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
38,Dyersburg,US,76.86,overcast clouds,36.0345,-89.3856,Hampton Inn Dyersburg
40,Yakima,US,77.54,clear sky,46.4665,-120.6678,
42,Hilo,US,82.13,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
44,Alofi,NU,80.49,broken clouds,-19.0595,-169.9187,Taloa Heights
57,Port Hedland,AU,80.65,broken clouds,-20.3167,118.5667,The Esplanade Hotel
62,Isangel,VU,80.78,clear sky,-19.55,169.2667,Tanna Lodge
63,Tiarei,PF,84.22,clear sky,-17.5333,-149.3333,Le Rocher de Tahiti
64,Jizan,SA,86.74,clear sky,17.3333,42.6667,شهدان. ابوالحجر
66,Atuona,PF,78.24,clear sky,-9.8,-139.0333,Villa Enata
71,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
81,San Patricio,US,86.09,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
83,Buala,SB,85.21,light rain,-8.145,159.5921,Maringe Lagoon Lodge
84,Nisia Floresta,BR,77.81,clear sky,-6.0911,-35.2086,Rancho Crepusculo
98,Mackay,AU,75.04,clear sky,-21.15,149.2,International Lodge Motel
100,Mahon,ES,82.96,scattered clouds,39.8885,4.2658,ARTIEM Capri
103,Cabo San Lucas,MX,85.3,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
105,Avarua,CK,77.05,light rain,-21.2078,-159.775,Paradise Inn
108,Jamestown,US,76.59,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
111,Lingao,CN,86.49,overcast clouds,19.9103,109.6859,Lingao Ditai Inn
113,Sidrolandia,BR,77.79,overcast clouds,-20.9319,-54.9614,Agropet São Francisco
114,Marzuq,YE,83.37,overcast clouds,14.4,46.4667,
115,Bowen,AU,75.52,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
117,Riyadh,SA,78.94,overcast clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
120,Naze,JP,82.35,overcast clouds,28.3667,129.4833,オーベルジュ・アガルイ
124,Padang,ID,83.44,overcast clouds,-0.9492,100.3543,Mercure Padang
132,Ishigaki,JP,77.13,heavy intensity rain,24.3448,124.1572,Hotel Peace Land Ishigakijima
